Entity,Code,Year,"17.2.1 - Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor - DC_ODA_LDCG - Percent (%)"
Australia,AUS,2000,0.08
Australia,AUS,2001,0.06
Australia,AUS,2002,0.06
Australia,AUS,2003,0.06
Australia,AUS,2004,0.06
Australia,AUS,2005,0.06
Australia,AUS,2006,0.07
Australia,AUS,2007,0.08
Australia,AUS,2008,0.08
Australia,AUS,2009,0.08
Australia,AUS,2010,0.09
Australia,AUS,2011,0.09
Australia,AUS,2012,0.11
Australia,AUS,2013,0.09
Australia,AUS,2014,0.09
Australia,AUS,2015,0.08
Austria,AUT,2000,0.06
Austria,AUT,2001,0.08
Austria,AUT,2002,0.09
Austria,AUT,2003,0.07
Austria,AUT,2004,0.06
Austria,AUT,2005,0.08
Austria,AUT,2006,0.08
Austria,AUT,2007,0.07
Austria,AUT,2008,0.07
Austria,AUT,2009,0.09
Austria,AUT,2010,0.12
Austria,AUT,2011,0.07
Austria,AUT,2012,0.06
Austria,AUT,2013,0.08
Austria,AUT,2014,0.08
Austria,AUT,2015,0.06
Belgium,BEL,2000,0.11
Belgium,BEL,2001,0.14
Belgium,BEL,2002,0.15
Belgium,BEL,2003,0.36
Belgium,BEL,2004,0.19
Belgium,BEL,2005,0.16
Belgium,BEL,2006,0.18
Belgium,BEL,2007,0.17
Belgium,BEL,2008,0.19
Belgium,BEL,2009,0.2
Belgium,BEL,2010,0.31
Belgium,BEL,2011,0.2
Belgium,BEL,2012,0.14
Belgium,BEL,2013,0.16
Belgium,BEL,2014,0.16
Belgium,BEL,2015,0.13
Canada,CAN,2000,0.05
Canada,CAN,2001,0.04
Canada,CAN,2002,0.06
Canada,CAN,2003,0.08
Canada,CAN,2004,0.08
Canada,CAN,2005,0.1
Canada,CAN,2006,0.1
Canada,CAN,2007,0.11
Canada,CAN,2008,0.13
Canada,CAN,2009,0.11
Canada,CAN,2010,0.15
Canada,CAN,2011,0.11
Canada,CAN,2012,0.11
Canada,CAN,2013,0.1
Canada,CAN,2014,0.08
Canada,CAN,2015,0.1
Czech Republic,CZE,2000,0.01
Czech Republic,CZE,2001,0.01
Czech Republic,CZE,2002,0.01
Czech Republic,CZE,2003,0.01
Czech Republic,CZE,2004,0.02
Czech Republic,CZE,2005,0.02
Czech Republic,CZE,2006,0.03
Czech Republic,CZE,2007,0.03
Czech Republic,CZE,2008,0.05
Czech Republic,CZE,2009,0.04
Czech Republic,CZE,2010,0.04
Czech Republic,CZE,2011,0.03
Czech Republic,CZE,2012,0.03
Czech Republic,CZE,2013,0.03
Czech Republic,CZE,2014,0.03
Czech Republic,CZE,2015,0.02
Denmark,DNK,2000,0.36
Denmark,DNK,2001,0.36
Denmark,DNK,2002,0.33
Denmark,DNK,2003,0.34
Denmark,DNK,2004,0.33
Denmark,DNK,2005,0.32
Denmark,DNK,2006,0.32
Denmark,DNK,2007,0.34
Denmark,DNK,2008,0.32
Denmark,DNK,2009,0.35
Denmark,DNK,2010,0.35
Denmark,DNK,2011,0.32
Denmark,DNK,2012,0.31
Denmark,DNK,2013,0.27
Denmark,DNK,2014,0.26
Denmark,DNK,2015,0.2
Finland,FIN,2000,0.1
Finland,FIN,2001,0.1
Finland,FIN,2002,0.12
Finland,FIN,2003,0.12
Finland,FIN,2004,0.12
Finland,FIN,2005,0.13
Finland,FIN,2006,0.14
Finland,FIN,2007,0.15
Finland,FIN,2008,0.15
Finland,FIN,2009,0.19
Finland,FIN,2010,0.2
Finland,FIN,2011,0.17
Finland,FIN,2012,0.18
Finland,FIN,2013,0.19
Finland,FIN,2014,0.21
Finland,FIN,2015,0.18
France,FRA,2000,0.09
France,FRA,2001,0.09
France,FRA,2002,0.13
France,FRA,2003,0.17
France,FRA,2004,0.17
France,FRA,2005,0.11
France,FRA,2006,0.12
France,FRA,2007,0.11
France,FRA,2008,0.11
France,FRA,2009,0.12
France,FRA,2010,0.14
France,FRA,2011,0.13
France,FRA,2012,0.1
France,FRA,2013,0.12
France,FRA,2014,0.09
France,FRA,2015,0.1
Germany,DEU,2000,0.07
Germany,DEU,2001,0.07
Germany,DEU,2002,0.07
Germany,DEU,2003,0.11
Germany,DEU,2004,0.09
Germany,DEU,2005,0.07
Germany,DEU,2006,0.09
Germany,DEU,2007,0.09
Germany,DEU,2008,0.1
Germany,DEU,2009,0.1
Germany,DEU,2010,0.11
Germany,DEU,2011,0.1
Germany,DEU,2012,0.11
Germany,DEU,2013,0.09
Germany,DEU,2014,0.1
Germany,DEU,2015,0.08
Greece,GRC,2000,0.03
Greece,GRC,2001,0.03
Greece,GRC,2002,0.04
Greece,GRC,2003,0.03
Greece,GRC,2004,0.03
Greece,GRC,2005,0.04
Greece,GRC,2006,0.04
Greece,GRC,2007,0.04
Greece,GRC,2008,0.05
Greece,GRC,2009,0.04
Greece,GRC,2010,0.04
Greece,GRC,2011,0.02
Greece,GRC,2012,0.02
Greece,GRC,2013,0.02
Greece,GRC,2014,0.02
Greece,GRC,2015,0.02
Hungary,HUN,2003,0
Hungary,HUN,2004,0.01
Hungary,HUN,2005,0.04
Hungary,HUN,2006,0.02
Hungary,HUN,2007,0.04
Hungary,HUN,2008,0.02
Hungary,HUN,2009,0.03
Hungary,HUN,2010,0.03
Hungary,HUN,2011,0.02
Hungary,HUN,2012,0.02
Hungary,HUN,2013,0.02
Hungary,HUN,2014,0.02
Hungary,HUN,2015,0.02
Iceland,ISL,2000,0.04
